qid	canonical_query
100000811504540	site:robertsmalls.org filetype:doc army-0918
100005353694238	site:egenda.stockton.gov.uk filetype:doc att1131
100006173437585	site:greekhelsinki.gr cedime-se macedonia filetype:doc
100008203949009	pro_notes filetype:doc saw vi
100009950673933	framewrk.doc oftel archive
1000102830151	wmo rsmc lareunion doc
100014720830210	humboldt park
100015723502757	mu-ming poo cv berkeley lab
100020904345488	inter-american dialogue press freedom alves
100021583051943	australian mathematical society medal 2000 christine o keefe filetype:doc
100022725629467	site:pimicikamak.ca lawocitf
10003889426732	zimbardo brunskill factor analysis filetype:ppt
100042051426599	australian tv network rankings week 43 filetype:doc
100049137618252	promoting cornish
10006588389448	somerset census summary profiles filetype:xls
100066034218656	jumpstart coalition april financial literacy month
100067299885010	riodinidae butterflies document
10006847266022	ijcrt papers 195709
100068812463725	cpr_hen_nil_udenfig.doc
100072711742072	nets-find.net s09 talk clark filetype:ppt
100085182049791	liptenina checklist filetype:doc
100086789339424	black hockey history
100087001560407	picou bio.doc
100098673701877	descendants of edward tempest volume 3 doc
100099664824451	annick monnet asma jahangir ohchr
100100236636435	john mccain april 25 2007 announcement doc
100100660553369	quran in context representation heidemann filetype:pdf
100105916415248	nztcs-beetles-coleoptera.xls
100107627099701	michael kirby speech
10010999251380	vrqzhe4lsc94v1c8p2txrcayl73i3ba3jg6fednc.doc
100111388453804	yale football lettermen list 2018
100116489046878	chapter 5 principal hazards filetype:doc
100121388886546	"site:westberks.gov.uk filetype:doc ""parish council"" printable"
100126042812166	dry dock engine
100129673171839	dprk new work item proposal korean characters wg2 filetype:doc
100130995889676	cuda guide
100135319100938	proyectos inei lib1020 c0206
100135328380558	reuse ppt
100136025746073	documents-dds-ny n0346896 filetype:doc
100145638283107	brookdale-en1 pionet abu basma
100148556694288	yugoslavia 1963
100148861793277	faisalabadprofile.doc
100153731269388	site:ionaudio.com icade dev resource v1.3
100158837240319	lrn cites
100160426348284	ernest lepore cv filetype:doc
100161028077288	siege besieged 250,000 syria report filetype:doc
100165526964805	site:conventions.coe.int filetype:doc 104-2.doc
100171434930496	"site:mason.gmu.edu ""control flow diagram"" filetype:doc"
10017851291404	warner digest 2009 filetype:doc
100180094435098	salsaggaf@hotmail.com filetype:doc
100182753162600	site:atbutterflies.com lycaenidae_deudoricina
100185441909568	hesperiidae_hesperiinae_1.doc
10018631107807	nsf ac-ere october 2008 meeting minutes filetype:doc
100187871718308	cordillera car census
100188606811426	site:ubs-translations.org barthelemy.doc
100188818946952	802.11 liaison
100188898008273	lawmin chronology doc
100190188051212	el pais doc
100198665367423	zhgtu eeu 31548839.doc
100206311421378	fz 114 15.08.1996 filetype:doc
100206519782972	nymphalidae_uncertain.doc atbutterflies.com
100219347200359	ed norris press release filetype:doc
100226093002181	"filetype:xls site:unescap.org ""asian highway"" japan"
100230507807553	171 cds 11 e rev1 jopling report
100231236949117	reglament 2010
100237045998013	site:col.com.hk pr060309 doc
100239516653839	positive learning centres
100240014473399	租機 合約
100242248789408	goan catholic heritage filetype:doc
100242724392529	nymphalidae_mycalesina filetype:doc
100244116662732	vi over 60
10024952538423	pfl.az 0oyuncu25.doc
100254426511923	national human development report nepal pdf
100256572778692	oasis academy coulsdon adjudicator report
100260844810876	site:cc.cesi.cn filetype:doc 20090708
100260976758093	daddyslittlegirls pro_notes.doc
100261935945179	162_ley_7_1991.doc
100263386310422	saturday review
100266546582909	paho caribbean health document
100267376996092	gokhale resume
100268568862745	partnerattiecibas saeimai filetype:doc
100274948546053	society for science member document 386
100275753225574	號誌裝置養護檢查作業程序_公開 filetype:doc
100278448947170	awit winners regine velasquez
100282058119249	aborigines tasmania
100285491837104	emergency care and cpr red cross
100287133831156	ms004-11-02.doc filetype:doc
100292018920900	722c9380430acd0ebff3ff9f883d2323 site:cancilleria.gov.co
100296257522109	l2/98-419 utc #78 ncits subgroup l2 minutes san jose december 1998 filetype:doc
100296545788955	"site:ellispark.co.za filetype:doc ""coca-cola_announcement.doc"""
100299256073782	quadrorb.doc filetype:doc
100300139197502	luther letters
100305498375450	architecture syllabus
100307420617459	iraqi kurdish conflict pards filetype:doc
10030913774665	resolution_belarus_copy_1.doc filetype:doc
100316660337693	el paso and southwestern locomotive no. 1 senate resolution
100319979371442	pps records 222 broadway gowdey
10032981074460	timeline of yale football after 2014.doc
10033753178253	25 february 2008 sfi strategic research clusters summary
100338363971026	king county hpp landmark list filetype:doc
100342113078198	transactionprocessing.doc filetype:doc
10034494711526	world bank kal summary paper filetype:doc
100353471728179	52140.ppt filetype:ppt
100354846881815	peter mcclellan sydney water inquiry biography
100355676552083	tepeyac school
10035782250228	city of sherrill may 27 2014 meeting minutes filetype:doc
100362761259553	2003winners.doc
100366980504145	site:tripsdrill.de/upload englisch tripsdrill.doc
100367361818539	abs-tankimhong.doc filetype:doc
100370539650896	lpr 2013
100371199970180	vahdati filetype:xls site:amar.org.ir
100380605608506	beuermann attack on iona 1209 10 filetype:doc
100381420101638	a/hrc/7/l.11 filetype:doc
100381449047921	filetype:xls pt lau
100384105345260	"wto ""agreement on the application of sanitary and phytosanitary measures"" filetype:doc"
100384903696853	atbutterflies download pieridae_anthocharidini.doc
100387379237146	commission of inquiry dprk detailed findings 2014 filetype:doc
100387778443367	rapporto 1 site:liberainformazione.org filetype:doc
100395540180653	pentila umangiana lycaenidae filetype:doc
100397119241979	tomasz kamusella silesia paper filetype:doc
100401725361116	vumba school report filetype:pdf
100404757069052	pain faculty form 2015 rcc
100406085919349	previous awit awardees.doc
100406237808094	harmon 2004 us air force academy doc
100406770617858	ncc017867 norfolk
100413027979386	site:legis.state.tx.us hr00822i.doc
100413867704125	chp9 ppt
100414264820797	shuvu banim full text filetype:doc
100422469717817	bobsleigh results
100428005087020	standing committees
100431753894766	oslicense ver2 filetype:doc
